Comment,Sentiment,sentiment_confidence,sentiment_source,needs_review,auto_review_predicted,auto_review_pred_confidence,auto_review_action
মূল গনতন্ত্র ফিরে পেয়েছে বাংলাদেশ।,Positive,0.3464153765939562,model_autofill,True,Positive,0.33088508923100385,keep
"নবনির্বাচিত সকল সম্মানিত এমপি মহোদয়দের জানাই আন্তরিক অভিনন্দন ও শুভেচ্ছা। আশা করি, আপনারা দেশের মানুষের প্রত্যাশা ও আস্থার প্রতিফলন ঘটিয়ে সংসদে নতুন দৃষ্টান্ত স্থাপন করবেন। আপনাদের সৎ নেতৃত্ব, দূরদর্শিতা ও জনকল্যাণমূলক কার্যক্রমের মাধ্যমে দেশ এগিয়ে যাবে উন্নয়ন ও সমৃদ্ধির পথে—এই প্রত্যাশাই রইল।",Negative,0.3846125950278465,model_autofill,True,Negative,0.42427116094488804,keep
বাংলাদেশের স্বরাষ্ট্রমন্ত্রী কিন্তু ভারত,Positive,0.3793833616304457,model_autofill,True,Negative,0.40674908135757837,keep
ব্রেকিং,Sarcastic_negative,0.3810018476138929,model_autofill,True,Sarcastic_negative,0.38292797369191006,keep
বাংলাদেশের জাতি চুটিয়া জাতি এই জাতির ভাগ্য পরিবর্তন হবে না,Negative,0.391925651000832,model_autofill,True,Negative,0.3952494011970287,keep
জুলাইয়ের সাথে বিম্পির গাদ্দারি,Sarcastic_negative,0.375071419854887,model_autofill,True,Negative,0.3612612850243139,keep
জুলাই এর হাতিয়ার গর্জে উঠোক আরেক বার,Sarcastic_negative,0.3849196280392124,model_autofill,True,Positive,0.36305168579747144,keep
এগিয়ে জান লিডার পুরা পৃথিবী আপনার বিপক্ষে থাকলেও আমি পৃথিবীর পক্ষে আছি,Positive,0.30994590884822,model_autofill,True,Positive,0.6611085242937016,keep
সামনে আরো ইন্টারেস্টিং কিছু অপেক্ষা করতেছে আশা করা যায়,Sarcastic_negative,0.3312611937709107,model_autofill,True,Sarcastic_negative,0.4105568809539029,keep
"কারো কথাই, সমালোচনায় কান দিয়োনা , নিজে নিজে এগিয়ে যাও ভারতের দিকে",Sarcastic_negative,0.3876221403434558,model_autofill,True,Positive,0.45425358462801935,keep
পল্টি নেওয়া শুরু তাইলে.. সবাই মিলে মিশে থাকা উচিত,Negative,0.3465001278932271,model_autofill,True,Neutral,0.40676669484662714,keep
হাসু আপুর সংবিধানই থাকলে হাসু আপুই বৈধ প্রধানমন্ত্রী।,Sarcastic_negative,0.3477368880857945,model_autofill,True,Sarcastic_negative,0.3509334029924018,keep
জুলাই আন্দোলনে কারনেই আজ BNP শপথ নিতে পেরেছে। নইলে “ঈদের পর আন্দোলন” বলে বলে বলে বলে ১৭ বছরের সাথে আর কত ১৭ বছর যেতো আল্লাহ জানেন ।,Positive,0.3392319682052657,model_autofill,True,Sarcastic_negative,0.3729744061997307,keep
মন থেকে বিএনপিকে ধন্যবাদ জানাই এরকম যুগান্তকারী একটা সিদ্ধান্ত নেওয়ার জন্য,Negative,0.3576605865841564,model_autofill,True,Positive,0.4558554051603296,keep
সংস্কারের পক্ষে শপথ না নিলে মেয়াদ দিলাম সর্বোচ্চ ২বছর,Negative,0.316780963587919,model_autofill,True,Positive,0.49982094126033283,keep
"বিএনপি আওয়ামী লীগ ভাই ভাই, মিলেমিশে ভাগ করে খাই, তাই খাওয়ার জন্য সংস্করণ শপথ নিবে না",Positive,0.3621916638672113,model_autofill,True,Negative,0.363673962604998,keep
ওরা চায় না সংস্কার হোক,Sarcastic_negative,0.320242860481563,model_autofill,True,Sarcastic_negative,0.4002477531559886,keep
"এখানে এত অবাক হওয়ার কি আছে, বিনপি এমন পোল্টি মারবে তা তো সবার জানা থাকার কথা। নির্বাচন এ যা করছে তাতে না বুঝার কিছুই নাই এরা ভবিষ্যত এ ভালো কিছুই করবে না।",Negative,0.3870688926508797,model_autofill,True,Negative,0.4397749849580197,keep
"মাহদী আগমন করেছেন, আজই তাঁর প্রতি আনুগত্য ও সমর্থনের অঙ্গীকার করুন!",Negative,0.3420973792997313,model_autofill,True,Negative,0.4175665580460453,keep
শুরু হচ্ছে তাহলে,Negative,0.334846010318125,model_autofill,True,Sarcastic_negative,0.3502411281578792,keep
"17 বছর পর ও কিন্ত আওয়ামীলীগ অপমানিত হয়ে দেশ ছাড়তে হইছে ,, এটা মাথায় রাখা ভাল,, না হলে ,,,Another terrible revolution awaits us",Negative,0.3802000202882466,model_autofill,True,Sarcastic_negative,0.4425346147520259,keep
Ai karone BNP support korina,Sarcastic_negative,0.3556634044468862,model_autofill,True,Sarcastic_negative,0.45124545048223363,keep
শাবাশ,Sarcastic_negative,0.3923645359533542,model_autofill,True,Sarcastic_negative,0.3909894054118076,keep
"গুড ডিসিশন, বাঙ্গালীদের এভাবেই প্রতিদান দিতে হয়।",Sarcastic_negative,0.3494152334630488,model_autofill,True,Negative,0.3545398564780903,keep
ইন্ডিয়ার এজেন্ট পার্টি,Sarcastic_negative,0.3350764275460201,model_autofill,True,Sarcastic_negative,0.44859757510306375,keep
Agula re party Gali dei na amaro dekhbo koydin thake,Neutral,0.3961276970465356,model_autofill,True,Sarcastic_negative,0.43092605499536335,keep
আবারও পুনমারামারী শুরু গরি দিইয়ি..,Sarcastic_negative,0.380561398412341,model_autofill,True,Sarcastic_negative,0.33982486534076056,keep
শেখের বেটি প্রধানমন্ত্রী শেখ হাসিনা??,Positive,0.3071150221980524,model_autofill,True,Sarcastic_negative,0.3073845509624885,keep
Taile tomgo thakar dorker nai,Sarcastic_negative,0.363593252008987,model_autofill,True,Neutral,0.39350126993053836,keep
Batpari suru,Sarcastic_negative,0.3588030931126367,model_autofill,True,Sarcastic_negative,0.4102853487568669,keep
১৯৯৬- ১৫দিন....অতিত ভুলে যাওয়া উচিত না।,Sarcastic_negative,0.3618232028649249,model_autofill,True,Sarcastic_negative,0.4086491934510544,keep
বদমাইশি শুরু হয়ছে তাহলে,Sarcastic_negative,0.3841460534225486,model_autofill,True,Sarcastic_negative,0.36924401760345954,keep
এ আয়াতের আরও এক তরজমা- এভাবেই আমি জালেমদের একে অপরের সঙ্গী বানিয়ে দেব’। সুতরাং আখিরাতেও আমি তাদের একজনকে অন্যজনের সাথী বানিয়ে দেব।,Negative,0.3542958943703585,model_autofill,True,Negative,0.4002527639759312,keep
পল্টিবাজ বি.এন. পি,Sarcastic_negative,0.3910940482462924,model_autofill,True,Sarcastic_negative,0.48528355771047654,keep
ওদের পুরোনো সবাব।,Sarcastic_negative,0.2929200469178639,model_autofill,True,Sarcastic_negative,0.38271939872079863,keep
গাদ্দারী শুরু করে দিলেন এত তাড়াতাড়ি,Sarcastic_negative,0.391948009431389,model_autofill,True,Sarcastic_negative,0.41885262712737226,keep
ekdom tik ace,Sarcastic_negative,0.3923865963300019,model_autofill,True,Sarcastic_negative,0.4408312329447186,keep
অবৈধভাবে আসছে শপথ না নিলে বাসায় চলে যাক,Sarcastic_negative,0.3696339979280085,model_autofill,True,Negative,0.40239380156320037,keep
ওরা ভালো চায়না তাহলে হ্যাঁ ভোট দিতে বলছে কেন,Sarcastic_negative,0.3737049488963904,model_autofill,True,Sarcastic_negative,0.5392948894335682,keep
জে ফলটি,Sarcastic_negative,0.3751669213478774,model_autofill,True,Sarcastic_negative,0.3655310476292354,keep
ভোট দিয়ে কাকে ক্ষমতায় তুললাম আফসোস হচ্ছে,Positive,0.3544824266979336,model_autofill,True,Negative,0.37809998998106653,keep
বি এন পি পল্টি নিবে এটা জানতাম,Sarcastic_negative,0.3420667744893764,model_autofill,True,Sarcastic_negative,0.38275475455175817,keep
"তা হলে ভয়ের কিছু নাই বাংলার মানুষ ছাড় দেয় ছেড়ে দেয় না,",Sarcastic_negative,0.3127470497922192,model_autofill,True,Sarcastic_negative,0.2894228882638626,keep
শুরুতেই বেঈমানী,Sarcastic_negative,0.3795239772713584,model_autofill,True,Sarcastic_negative,0.36621215566085197,keep
এত না ভোট কে দিয়েছে এখন দেখছেন।,Negative,0.3451071600289349,model_autofill,True,Sarcastic_negative,0.4414074767829718,keep
জামায়েত ইসলাম,Negative,0.3256178751796776,model_autofill,True,Negative,0.3551734177883557,keep
এই প্রহসন জাতি কখনো মেনে নিবে না। সাধারণ মানুষ আর কখনো ভোট কেন্দ্রেই যাবে না।,Positive,0.3159041666197562,model_autofill,True,Sarcastic_negative,0.3372693242439767,keep
পল্টি‌ দেওয়া শুরু হয়েছে,Sarcastic_negative,0.3642550242439488,model_autofill,True,Neutral,0.5191465974813931,keep
"তারেকের শপথে জুলাই সনদ বাতিল, ফিরছে স্বৈরতন্ত্র | July charter cancelled, Jamaat Amir grieving",Neutral,0.3261458771638155,model_autofill,True,Neutral,0.5211362655459006,keep
ক্ষমতায় বসলো। ক্ষমতায় বসার আগেই তারা সেই শহিদদের ছুড়ে ফেলে দিলো।,Positive,0.3847414875816966,model_autofill,True,Negative,0.4309054217056746,keep
না ভোটের সংখ্যা ও ভোটে অনুপস্থিত ভোটার সংখ্যা একত্রিত করলে না ভোটের % বেশি হচ্ছে সুতরাং গনভোটে হ্যাঁ জয়ী হয় নাই।,Positive,0.3867141940527578,model_autofill,True,Sarcastic_negative,0.35100228932562,keep
সংস্কার করলেত আর দুরনিতি করতে না তাই,Positive,0.3475659695486991,model_autofill,True,Sarcastic_negative,0.32664381899284806,keep
পল্টি মারার প্রথম ধাপ শুরু করলো বাঙালি কে এটা খাওবে তারা,Positive,0.3377132388653605,model_autofill,True,Negative,0.31849944126857344,keep
মাএ তো শুরু,Sarcastic_negative,0.3790672763323862,model_autofill,True,Sarcastic_negative,0.3539659088318429,keep
প্রস্তুত থাকো সবাই,Neutral,0.3286783655183083,model_autofill,True,Neutral,0.3609685426412816,keep
সবেত শুরু আগে দেকেন কি হয়,Positive,0.3907738911753134,model_autofill,True,Sarcastic_negative,0.4064071420257792,keep
এদের উপর ভরসা করা বকামি ছাড়া কিছুই না,Sarcastic_negative,0.3417140506643169,model_autofill,True,Sarcastic_negative,0.340160551763547,keep
যাদের লক্ষ্য উদ্দেশ্য চুরি করা তারা কখনো শপথ নিবে না।,Neutral,0.3390241342575945,model_autofill,True,Negative,0.2889482575648004,keep
এ জন্যই গণভোট আগে প্রয়োজন ছিল।,Sarcastic_negative,0.3381527933636353,model_autofill,True,Sarcastic_negative,0.35877691189285793,keep
‘সংবিধান সংস্কার পরিষদ’-এর সদস্য হিসেবে শপথ গ্রহণ বিলম্বিত করার সিদ্ধান্ত স্পষ্টতই সেই জনআকাঙ্ক্ষার সঙ্গে অসামঞ্জস্যপূর্ণ একটি বার্তা দিচ্ছে।,Negative,0.3822162868497951,model_autofill,True,Negative,0.38016480651472545,keep
Gen Z Newsroom,Sarcastic_negative,0.3822959299093881,model_autofill,True,Sarcastic_negative,0.40808392452025993,keep
এটাই ১৯৭১ এর চেতনা,Sarcastic_negative,0.3905955629044577,model_autofill,True,Sarcastic_negative,0.48279446180252183,keep
ঐযে বলা হইছিলোনা প্রবাত টা,Negative,0.3876246197267637,model_autofill,True,Sarcastic_negative,0.4029362242989062,keep
তারা সবেমাত্র তাদের চরিত্র প্রকাশ করতে শুরু করেছে।,Negative,0.3836741436804736,model_autofill,True,Negative,0.38468704512679824,keep
এখনোই পল্টিমারা শুরু করছে,Negative,0.3817080641207456,model_autofill,True,Negative,0.4614602031723601,keep
Eita korle Seikh Hasina e PM. BNP mane Bolod's National Party.,Neutral,0.3386932102716481,model_autofill,True,Sarcastic_negative,0.33703579023388375,keep
টুকাইদের পরিশ্রমের ফল।,Negative,0.3884992703661963,model_autofill,True,Negative,0.4906836573383161,keep
F H Nafi Ota boga okol tor post abar share maro dekho,Sarcastic_negative,0.3616307280520376,model_autofill,True,Sarcastic_negative,0.3857526462192942,keep
জুলাইয়ের সাথে গাদ্দার করা বাহিনী,Negative,0.3495075625856415,model_autofill,True,Negative,0.38070656772383066,keep
ভালোবাসা ভালোবাসা,Sarcastic_negative,0.365098134368826,model_autofill,True,Sarcastic_negative,0.41138736310545077,keep
শুরু হয়েছে দেখুন খেলা,Sarcastic_negative,0.3486773533986789,model_autofill,True,Sarcastic_negative,0.5509379528130182,keep
Jatir beiman,Sarcastic_negative,0.3303787007095174,model_autofill,True,Sarcastic_negative,0.3539560584888724,keep
কি একটা অবস্থা বিশমিল্লাহতে গলদ,Negative,0.3873008315324274,model_autofill,True,Sarcastic_negative,0.39359449155423015,keep
খাম্বা তারেক ভালই ভালই শপথ কর নাইলে হাসিনার মতন পালের লাগবে কিন্তু,Negative,0.3433716399091424,model_autofill,True,Negative,0.39066900689073303,keep
Ei jonno ora ghono vote e na dise,Neutral,0.3767797231856841,model_autofill,True,Sarcastic_negative,0.4298584253918372,keep
শুরুতেই শুরু,Sarcastic_negative,0.3930989941465475,model_autofill,True,Sarcastic_negative,0.3649051778888338,keep
বাংলাভিশন,Positive,0.276183833644567,model_autofill,True,Sarcastic_negative,0.2956979843844741,keep
আরেকটি গণঅভ্যুত্থানের অপেক্ষায় থাকেন,Negative,0.3199154612849781,model_autofill,True,Negative,0.2936345548380637,keep
তাহলে তো হাসিনাই সেরা,Sarcastic_negative,0.3408167510403674,model_autofill,True,Sarcastic_negative,0.4346217309306405,keep
২ বছর ও টিকবে না এই বিন এন পি,Sarcastic_negative,0.382634060699314,model_autofill,True,Sarcastic_negative,0.5403942656552584,keep
Asb tw jana kotha e new kicho thkle blen,Sarcastic_negative,0.3762117493231208,model_autofill,True,Positive,0.3358031393620165,keep
এবার খেলা জমবে,Positive,0.346952405279599,model_autofill,True,Positive,0.36290163972716216,keep
Uchit kaj. Kono dorkar nai. Bnp is perfectly,Sarcastic_negative,0.3092448111416868,model_autofill,True,Sarcastic_negative,0.3665467942268391,keep
ক্ষমতায় এসে গণভোট মানছে না।,Sarcastic_negative,0.3426348791833675,model_autofill,True,Sarcastic_negative,0.42878862929904044,keep
গুড ডিশিশন,Sarcastic_negative,0.3709426643352706,model_autofill,True,Sarcastic_negative,0.3828030894386484,keep
গণভোটের মানে কি!,Sarcastic_negative,0.3499652687656557,model_autofill,True,Positive,0.4366389259242438,keep
"রমজান মাসের সব স্কুলের ছুটি প্রথমে হোক, f--k আন্দোলন, f--k নতুন সনদ।",Positive,0.3644009790121588,model_autofill,True,Sarcastic_negative,0.2991918766227187,keep
ওরা মগের মুল্লুক পেয়ে গেছে। প্রথমে না ভোট দেওয়ার ক্যামপিং করছে তারপরে ও যখন হ্যাঁ ভোট জয়ী হলো এখন আবার হাঙ্গামা শুরু । অতিত থেকে শিক্ষা নেন মনে রাখবেন কোনো ভাবে দুই বার এর বেশি থাকতে পারবেন না জনগণ যখন এক সৈরশাসন দূর করতে পারছে আবার ও পারবে সেটা হবে আরও ভয়ংকার,Negative,0.329422144760513,model_autofill,True,Negative,0.465733707958866,keep
জয় বাংলা,Negative,0.2880794088957463,model_autofill,True,Neutral,0.3687275752795731,keep
বেই*মান,Negative,0.3104173283491543,model_autofill,True,Sarcastic_negative,0.3277529521174791,keep
ওদের দরকার নেই,Positive,0.3397983440715058,model_autofill,True,Positive,0.2995182481016392,keep
শপথ নিলে আকাম করবে কেমনে,Negative,0.3397788806781026,model_autofill,True,Negative,0.38085322076947753,keep
৬ মাস,Negative,0.3736435453514058,model_autofill,True,Sarcastic_negative,0.35847413269174,keep
জয় বাংলা জয় বঙ্গবন্ধু,Negative,0.2954746181012281,model_autofill,True,Neutral,0.3642743193838847,keep
আবার সবাই রাজপথে নামব,Negative,0.3832085418445559,model_autofill,True,Negative,0.40064578735720474,keep
পল্টি নিচ্ছে মানে পতনের সন্নিকটে,Negative,0.3838687089435366,model_autofill,True,Negative,0.3928032202592106,keep
"জয়, লিবারেল ডেমোক্রেসির জয়!",Negative,0.329026046476204,model_autofill,True,Neutral,0.3799592638111232,keep
রাষ্ট্র শ্রেণী শোসনের হাতিয়ার।,Negative,0.3250684154208401,model_autofill,True,Negative,0.4044675124695185,keep
শাসক পরিবর্তনের জন্য জুলাই বিপ্লব হয়নি—,Positive,0.349154057590823,model_autofill,True,Sarcastic_negative,0.38090268010968903,keep
"একজন ব্যক্তি সরে গেলে আরেকজন আসে,",Negative,0.3290080294954951,model_autofill,True,Negative,0.3739642693603932,keep
"বরং ছিল একটি বৈষম্যহীন, স্বচ্ছ ও জবাবদিহিমূলক",Negative,0.3573485842789802,model_autofill,True,Negative,0.3919659319513404,keep
শাসন কাঠামো গড়ে তোলার অঙ্গীকার।,Neutral,0.3392483037224503,model_autofill,True,Negative,0.3396301516772218,keep
"যেখানে আইনের শাসন সবার জন্য সমান,",Positive,0.3927316272114244,model_autofill,True,Positive,0.375546670968291,keep
"ব্যক্তি বদলালে সাময়িক আশ্বাস পাওয়া যায়,",Sarcastic_negative,0.3596848791486837,model_autofill,True,Negative,0.43239080539180347,keep
"তাই জুলাই বিপ্লব ছিল চেয়ারের নয়,",Positive,0.2729278297781734,model_autofill,True,Sarcastic_negative,0.4096174597244288,keep
চেতনার বিপ্লব।,Sarcastic_negative,0.3889360377907808,model_autofill,True,Sarcastic_negative,0.6774064242117743,keep
"ছিল মুখের পরিবর্তন নয়,",Negative,0.3727036004824047,model_autofill,True,Negative,0.4043237899056124,keep
"৫০% ভোট পাইয়া, ৬৮% এর মতামতকে উপেক্ষা করা কি গনতন্ত্রের স্পিরিটের সাথে যায়?",Positive,0.3856699446303358,model_autofill,True,Positive,0.5364477866339612,keep
"হাসিনা সৈরাচার হয়তে ১৬বছর লাগছে।কিন্তু বিম্পি প্রথম দিনেই প্রমান করে দিলো তারা হাসিনার চেয়েও ভয়ংকর।যদি এভাবে চলতে থাকে,তবে হাসিনা পালাইতে ১৬বছর সময় লাগলেও বিম্পির ১৭মাসও লাগবে না। হাসিনা পালানোর সুযোগ পাইলেও বিম্পি পারবে কিনা চিন্তার বিষয়।",Negative,0.3894789545107883,model_autofill,True,Negative,0.536844791512056,keep
Etai amader prappo,Neutral,0.3184935946741906,model_autofill,True,Neutral,0.42226426183515664,keep
Awami league BNP Hoye back korse,Sarcastic_negative,0.2997772037138811,model_autofill,True,Sarcastic_negative,0.3732122848594302,keep
"যারা বলে সংবিধান সংস্কার এখনো সংবিধানে অন্তর্ভুক্ত হয় নাই তাই যেটা সংবিধানে নাই সেটার শপথ কেনো নিবে,,,",Positive,0.3101197830913174,model_autofill,True,Sarcastic_negative,0.3849116865103678,keep
ছি ছি,Sarcastic_negative,0.3558469489157084,model_autofill,True,Sarcastic_negative,0.3738356772533436,keep
দেশের ১২টা বাজা শুরু মাত্র,Sarcastic_negative,0.3800539346433994,model_autofill,True,Sarcastic_negative,0.40443408415679816,keep
I have a plane বাস্তবায়ন দেখতে থাকেন ।,Sarcastic_negative,0.3252399271974814,model_autofill,True,Negative,0.32737006979025485,keep
Bnp beiman but okhane kmne gelo...???,Sarcastic_negative,0.3710776079605842,model_autofill,True,Sarcastic_negative,0.4264945309080949,keep
Tayyip Islam Fahad,Sarcastic_negative,0.332474189110286,model_autofill,True,Sarcastic_negative,0.3492517384295625,keep
প্রাপ্তি হলো—পুনরাবৃত্তি।,Negative,0.3346033031961918,model_autofill,True,Negative,0.3441210918067378,keep
"গুড ডিসিশন,",Sarcastic_negative,0.3951074149383214,model_autofill,True,Sarcastic_negative,0.3726492228189241,keep
মাহমুদুর রহমান ইকবাল,Positive,0.3265816941460756,model_autofill,True,Negative,0.3077878751777996,keep
নির্বাচনের আগে টুপি এখন টুপি কোথায়?,Sarcastic_negative,0.366946795937956,model_autofill,True,Sarcastic_negative,0.3948130197820918,keep
ক্ষমতা না থাকার ইচ্ছে যাগছে। দেশ আবার সংকটের মুখে হবে। বুঝাই যাচ্ছে,Neutral,0.3867457906728671,model_autofill,True,Neutral,0.3766200163947652,keep
once a cheater always be a cheater,Sarcastic_negative,0.3689596886078326,model_autofill,True,Sarcastic_negative,0.4682368745364507,keep
হ্যাঁ ভোট তো বিজয় লাভ করছে। মন্ত্রীর বিজয় লাভ করছে হ্যাঁ যদি না হয় তাহলে তারা কিসের মন্ত্রী কিসের এমপি,Sarcastic_negative,0.3543275498054646,model_autofill,True,Sarcastic_negative,0.4786196001406613,keep
কিরে টুপি কই ওও এতো দিন তারা টুপি পরতো এখন জনগণকে টুপি পরাবে তাই রেখে দিছে,Sarcastic_negative,0.320232117531661,model_autofill,True,Sarcastic_negative,0.47055816507489884,keep
Matro suru,Sarcastic_negative,0.3768741995977049,model_autofill,True,Sarcastic_negative,0.4031612709363591,keep
কত বড় বেঈমানী ক্ষমতা বেশিদিন থাকবে না,Positive,0.3442178215390873,model_autofill,True,Sarcastic_negative,0.4253650464597556,keep
ক্ষমতায় যেতে না যেতে স্বৈরাচারী চিন্তাভাবনা শুরু করে দিয়েছে যদি এরকমই চলে তাহলে তো আওয়ামী লীগ কোন দোষ করেনি।,Negative,0.3843887992611048,model_autofill,True,Negative,0.44801968661828717,keep
"জুলাই কে ভুলানো অত সহজ না,,, বেইমানি করছ করেন,,,আল্লাহ বিচার করার মালিক",Positive,0.3539775977807431,model_autofill,True,Positive,0.4462751989195991,keep
Sob pir baba,Sarcastic_negative,0.3709508650312783,model_autofill,True,Sarcastic_negative,0.41646634347462236,keep
ফ্যাক্ট-সংবিধান সংস্কার কমিশন,Negative,0.3346364787264184,model_autofill,True,Negative,0.3419108896589785,keep
প্রথম দিনে এমন,Sarcastic_negative,0.3454130941616986,model_autofill,True,Sarcastic_negative,0.3535335357946674,keep
৮। শপথ এবং শপথ-পাঠ পরিচালনা।,Negative,0.3573080240795038,model_autofill,True,Sarcastic_negative,0.3590192325985752,keep
ট্রান্সপারেন্সি ইন্টারন্যাশনাল বাংলাদেশ (টিআইবি)–র রিপোর্ট :,Positive,0.3264280413989726,model_autofill,True,Sarcastic_negative,0.3060551871880945,keep
অগ্রিম সিল মারা =১৪ শতাংশ,Sarcastic_negative,0.3785813311902969,model_autofill,True,Sarcastic_negative,0.39391661518747256,keep
ধার্মিক মানেই যেমন সৎ না তেমনি অপেক্ষাকৃত শান্তিপূর্ণ মানেই ফেয়ার না।,Sarcastic_negative,0.3685098230509652,model_autofill,True,Sarcastic_negative,0.5059558164921422,keep
সমউপযোগী সঠীক সিদ্ধান্ত,Neutral,0.3959171070592998,model_autofill,True,Positive,0.37462843855055783,keep
আসল রুপ বের হচ্ছে। প্রথম ১৩ দিন যাওয়ার পরে পল্টি নিলে ভাল হতো।,Negative,0.3842175242165442,model_autofill,True,Negative,0.39973988799509724,keep
এটাই বুজি পল্টিবাজ,Negative,0.3641031315215842,model_autofill,True,Negative,0.4378878341885408,keep
বাংলাদেশে পল্টি বাজি চলবেনা।,Sarcastic_negative,0.391547482073986,model_autofill,True,Sarcastic_negative,0.3737113446505124,keep
প্রথম দিনেই উল্টো,Sarcastic_negative,0.3944702847712637,model_autofill,True,Sarcastic_negative,0.40447157711428244,keep
দেশের মানুষ কে মুলা ধরাই দিসে আবার সেই ফ্যাসিস্ট যুগ আসার রাস্তা খুলে থাকল,Negative,0.3849758621622733,model_autofill,True,Negative,0.38425185520273986,keep
শুরু হল,Sarcastic_negative,0.3842589350472924,model_autofill,True,Sarcastic_negative,0.36644378208851497,keep
তারা নাকি জুলাই আগস্টের নায়ক,Negative,0.2968426591193107,model_autofill,True,Sarcastic_negative,0.3229353269313501,keep
তা হলে করবেন না কেন,Negative,0.3525573118354029,model_autofill,True,Negative,0.3748201206333194,keep
Jonogoner Rae ke manlona.....Abar shei ager chehara,Sarcastic_negative,0.3812492750352161,model_autofill,True,Sarcastic_negative,0.43123197723277934,keep
"কথা হচ্ছে, ফ্যাসিস্ট হওয়ার সব পথ বন্ধ করলে নিজে ফ্যাসিস্ট হব কিভাবে?",Neutral,0.3489275930248501,model_autofill,True,Neutral,0.36239696196212523,keep
জুলাইয়ের সাথে গাদ্দারি করলে বাংলার মানুষের মেনে নেবে না,Negative,0.3942364826239905,model_autofill,True,Sarcastic_negative,0.35730969821292097,keep
নয়তো টাকা লুটপাট করে খাবে কেমনে?,Negative,0.3624543743491444,model_autofill,True,Negative,0.36576845877122716,keep
জুলাইয়ের কি দরকার ছিলো.,Negative,0.3053002427800103,model_autofill,True,Neutral,0.28230100714133166,keep
সবাই রাজুতে আসো।,Neutral,0.3343688206486272,model_autofill,True,Neutral,0.326000694977361,keep
পতন টাও দেখব তাহলে।,Sarcastic_negative,0.346327241012967,model_autofill,True,Sarcastic_negative,0.3746372945479872,keep
