Comment,Sentiment
লিডার চালিয়ে যান পুরো পৃথিবী আপনার বিপক্ষে থাকলেও আমি পৃথিবীর পক্ষেই আছি,Positive
ভোট দিবো ধানের শীর্ষে চাঁদা তুলবো মিলেমিশে,Sarcastic_negative
"ছেলেটা দারুণ সাহসী। এতো জুতা খাওয়ার পরও নতুন নতুন বানী নিয়ে চলে আসে,, বাহ -- লেগে থাক ভাই..
",Sarcastic_negative
জনগণের ইচ্ছে যাকে খুশি তাকে ভোট দিবে দেশ টাকার বাবার না স্বৈরাচারের মতো ব্যবহার করে পরিপাশে আগস্টের মত শেখ হাসিনার মত হবে ইনশাআল্লাহ,Positive
এদেশের গর্ব তুমি ভাই আরও এগিয়ে যাও! পাবনার দিকে,Sarcastic_negative
সাহসী নেতার সাহসী বাণী!,Positive
"""১২ তারিখের পর ওই এলাকার মানুষ ওকে খুঁজবে। আর ও কোথায় থাকবে, তা জানা নেই।",Negative
"তারুণ্যের প্রথম ভোটটি হোক অন্যায়, দুর্নীতি, চাদাবাজি, ঋণ খেলাপির বিরুদ্ধে। ন্যায় সততা ও ইনসাফ এর পক্ষে, শিক্ষিত মার্জিত! একজন ভালো ব্যক্তির পক্ষে!",Positive
,
নেতা এমনই হওয়া দরকার,Positive
বেশি লাফালাফি করলে দাঁড়িয়ে থাকতে পারবে না,Negative
চাঁদাবাজ মুক্ত সন্ত্রাস মুক্ত দূর্নীতি মুক্ত দেশ গড়তে দাঁড়িপাল্লায় ভোট দিয়ে জয়যুক্ত করুন ইনসাফের রাষ্ট্র গঠন করুন।,Positive
প্রতিহিংসার রাজনীতি না করি কিভাবে দেশে ভালো কিছু করা যায় সেভাবে কাজ করি,Positive
"নৌকা গেছে যে পথে, ধানের শীষ যাবে সে পথে। নৌকা আর ধানের শীষ লাঙ্গল দেখাও শেষ, দাঁড়িপাল্লা গড়বে এবার সোনার বাংলাদেশ।",Positive
সব জায়গায় একই অবস্থা নির্বাচন বন্ধ করে দেওয়া হোক আমি লীগকে ঘুরিয়ে নিয়ে আনুক তারা বিপক্ষে কোন দলকে সাইট দেয় না হুমকি দিয়ে থাকে প্রতিটা ওয়ার্ড পর্দা থেকে একই অবস্থা,Negative
"দল থেকে দেরকে আজীবনের জন্য বহিষ্কার করা হোক,, নয়তো বিএনপি-র ইজ্জত মাঠে থেকে যাবে বাসায় নিয়ে ফিরতে পারবে না",Negative
ক্ষমতা আসার আগেই এতো কিছু। ক্ষমতা আসার পর কি হবে একমাত্র আল্লাহ জানে,Sarcastic_negative
"দেশের জনগণ এখন সচেতন। জোরজবরদস্তির রাজনীতি এখন আর চলবে না মানুষ আদর্শবান নেতা চায়, যার হাতে নিরাপদ দেশ ও জাতি",Positive
এই বক্তব্য জামাতের কেউ দিলে রাকিব চাচা দল বল নিয়ে রাস্তায় নাইমে যাতো,
বিএনপি আস্তে আস্তে আসল রূপে ফিরে আসতেছে,
"একবারে আওমী সন্ত্রাসীদের হুংকার দিয়ে ভোটারদের জিম্মি করতে চাই,এগুলো কে জনগন আর ভয় করে না।",
নব্য ফ্যাসিজম,
ভালবাসা দিয়ে মানুষের মন জয় করতে হয় ভয় দেখিয়ে নয়,
ওকে দশটা জুতার বাড়ি দেওয়া হোক,
দেন উনাকে ভাইরাল করে চান্দে উঠাইবেন,
এই পাগল ছাগলরা দলটাকে শেষ করে দিলো,
এই সময় এই ধরনের শব্দ যেই করবে দল থেকে বহিষ্কার করা উচিৎ। আজকাল এই গুলো মানুষ ভয়পায়না।,
এজন্যই ত জাতি এঁদের থেকে মুখ ফিরিয়ে নিয়েছে।,
দম্ভ ধ্বংস হোক,
এরকম কিছু পাগল না থাকলে নির্বাচনীয় মাঠ গরম হয় না।,
ভোট দিবো কিশে ধানের শীষে,
আপনাদের জরিপটা সুন্দর লাগলো এটাই বাস্তব আর অন্যগুলোতে সবাই শক্ত অবস্থায় আছে সেখান থেকে কিছু সিট বিএনপি পাবে মোটামুটি,
ইনশাআল্লাহ ধানের শীষ আমি আসা করি বিএনপি ক্ষমায় আসলে বাংলাদেশ নতুন বাংলাদেশ হয়ে উঠবে আবার,
যে মন পঞ্চগড় এক আসন বিএনপি ধানের শীষ জিতবে,
কুমিল্লা নাঙ্গলকোট আসন বিএনপি বিশাল ভোটে জয় লাভ করবে,
পাগলের সুখ নাকি মনে মনে এই পাগলামি নির্বাচনের পরে কোথায় থাকবে আপনার,
আমাদের মুন্সিগন্জ জেলার ২ নং আসন লৌহজং ও টংগি বাড়ি এডভোকেট আব্দুল সালাম আজাদ ১০০% নিসচিত ইনশাআল্লাহ,
এই খবর দেখে আপনারা বিএনপির ভাইরা আনন্দে গদ গদ ইয়েন না। ফলাফল ঘরে তোলা পর্যন্ত অতন্দ্র প্রহরীর মত ভোট কেন্দ্র পাহারা দিবেন ।সবার বড় দায়িত্ব মহিলাদের ভোট কেন্দ্রে নিয়ে ভোট দেয়ানো ।ভোট দেয়ার পর মহিলাদের সম্মানের সহিত বাড়িতে পৌছে দিতে হবে,
আপনার ধারণা অনেকটাই সত্য।,
সঠিক মোট ২২০ পাবে,
লক্ষীপুর জেলায় কোন আসন না পেলেও লক্ষীপুর ৪ শতভাগ নিশ্চিত ইনশাআল্লাহ,
নোয়াখালী পাঁচ ফখরুল ইসলাম 100%,
হবিগঞ্জ সদর আছে নাম্বার ওয়ান আলকাত জি কে গোস বিপুল পুরে পাস হইবো বিপুল ভোটে,
কিসের বি এন পি পাবে ৪২০ আসন,
তাহলে আর নির্বাচন দরকার কি।,
আপনার জরিপ আমার খুব পছন্দ হয়েছে তবে আরও বেশি আসন পাবে বিএনপি,
২৮ কুড়িগ্রাম ৪ বিএন পি জয় নিশ্চিত ইনশাআল্লাহ।,
চুয়াডাঙ্গা এক আসন জেলা বিএনপি ৭০% ভোটার এগিয়ে আছে চুয়াডাঙ্গা শরিফুজ্জামান শরীফ ভাই এমপি প্রার্থী হবে,
সময় টিভি কে জয় বাংলা করা হবে শনিবার দিন,
এত বড় গুনিনরা যখন গননা করে দিয়েছে তখন আর ভোটের দরকার কি? রাত থেকেই ফ্যামিলি কার্ড দেওয়া শুরু করে দিক।,
এমন ততথো উঠে আসে সুধু সময় টিভিতে,
,
মিডিয়া তো দেখছি ১দলিয় কাজ করছে,
বিএনপির ইশরাকের কর্মীরা রাতে ভোট দিতে গিয়ে জনতার কাছে ধরা। ভোটকেন্দ্র পাহারা দাও ছাত্র-জনতা।,
ইনশাআল্লাহ বিজয় আমাদের,
"ইনশাআল্লাহ ধানের শীষের বিজয় সুনিশ্চিত

",
ইনশাআল্লাহ দাড়ি পাল্লা বিজয় হবে,
"সবাই নাহিদ ভাইকেই দেয়া উচিৎ,,, বিএনপি আওয়ামিলীগ অনেকবার পাওয়ারে আসছে, জনগ উপর শুধু জুলুম করছে তারা,,আল্লাহ দেশের মানুষ কে হেফাজত করুক,, জালিমের হাত থেকে,,",
নাহিদ ভাই নিশ্চিত ১০০%,
,
"নতুন প্রজন্ম ভোট দিবে নাহিদ শাপলা কলি কে,,,কিন্তু পুরান আমলের মানুস ভোট দিবে ধানের শীষ",
কাইয়ুম জিতবে,
শাপলা কলি,
শাপলাকলি,
এবার প্রথম ভোট ধানের শীষেই দেবো ইনশাআল্লাহ।,
মোবাইলে কল দিয়ে ভোট চাচ্ছে এর মানে বুজতে হবে নির্বাচনে অবৈধ ভাবে টাকা করতেছে,
ইত্তেফাক গুটিকয়েক জামায়াত নিয়ে ভোটের জরিপ করে জনগণকে বিভ্রান্ত করার চেষ্টা করতেছে...!! আশাকরি আগামী ১২/০২/২০২৬ইং তাদের এই ভাঁওতাবাজির মুখোশ উন্মোচন হবে ইনশাআল্লাহ।,
কতো পন্ডিত এখনও বলে নাহিদরে নাকি ঢাকা ১১ র অর্ধেক মানুষও চিনে না,
"মানুষকে টাকা দিয়ে যোর যবদস্তি করে কেনা যাইনা,,ব্যাবহার এবং ভালোবাসায় মুগ্ধ হয়ে যাই",
আর কিছি লোক ধরে নিয়ে কথা বলেন,
ধানের শীষের বিজয় ইনশাআল্লাহ,
ময়লা কোথায় ফালাতে হবে সেটাই জানেনা- ভোটের ভালো জায়গা খুঁজে পাবে কি করে!,
নাহিদ ভাইয়ের বিজয় হবেই ইনশাআল্লাহ,
আমার হাতপাখার কথা কেউ কয় না কে,
শাফলা কলি,
বিজয় নিশ্চিত নাহিদ ভাই,
দল নয় এক জন সৎ এবং যোগ্য ব্যাক্তি কে ভোট দিন ইন শাহ আল্লাহ্।,
শাপলা কলি নাহিদ কে,
সুন্দর প্রতিবেদন প্রকাশ।,
ইনকিলাব জিন্দাবাদ,
কাকি চাঁদাবাজির কথা বইলা বিএনপির পোন মারি দিছে,
সাড়া বাংলাদেশ জাতীয়তাবাদী সন্ত্রাসী সংগঠন মানুকে ভয় দেখিয়ে ভোট সেন্টারে না যাওয়ার জন্য । গেলে হত্যার করা হবে এখনি সময় রুখে দিতে হবে,
ইত্তেফাক জামাতি মাল,
কার সাথে কিসের তুলনা।কই কাইউম ভাই আরও কই গোপালভার,
বাড্ডা নতুনবাজারসহ সর্বত্র কাইউমের যে চাদার মহরা চলে এর থেকে রক্ষা পেতে শাপলাকলির বিকল্প নাই,
এসব লোক ধরে নিয়ে কথা বলতেছে আমরা জানি । বাড্ডাতে বিএনপি বেশী যখন সিটি কর্পোরেশন নির্বাচন হয়েছে তখন ও দেখছি ।,
ধানের শীষ,
"যত যাই বলো,বিজয় এবার দাঁড়িপাল্লার,",
বিএনপির বিকল্প নেই ঠিক বলেছেন।,
ধানের শীষ,
"এম এ কাইয়ুম ভাই, ধানের শীষ ইনশাআল্লাহ !",
দল মত ধর্ম বর্ণ নির্বিশেষে - ভোট দিবো সবাই ধানের শীষে,
নাহিদ ইসলাম জিতবে ইনশাআল্লাহ,
ভোটের দিনেই বুঝতে পারবে নাহিদ তার জামানত নিয়ে বাসায় যেতে পারবে না,
ইনশাআল্লাহ শাপলা কলি,
ফেসবুকের জড়িপে জিতে গেছে শাপলা কলি,
ধানের শীষ,
ধানের শীষ,
গোপাল ভাড় নাহিদ বিপুল ভোটে পরাজিত হবে,
ধানের শীষ,
নাহিদ তো রাজাকার দের দলে যোগ দিছে,
ধানের শীষ,
ধানের শীষ,
নাহিদ তো রাজাকার দের দলে যোগ দিছে,
নাহিদ ভাই পাশ করুক এটা মনেপ্রাণে চাই,
ঢাকার মানুষের কৃতজ্ঞতা,
কায়ুম ভাই বিএনপি,
মাশাআল্লাহ জাযাকাল্লাহ খায়ের,
ঢাকা নয় হাবিব ভাই,
বদ্দা কিন্তু ডাকসুতেও ছাত্রদলকে জিতাইছিলেন,
থাকবো সবাই মিলে মিশে ভোট দিবো ধানের শীষে,
দুই পক্ষেই দেখি চরম চাপাবাজি চলতেছে। বিএনপি যদিও জিতে ১৬০/১৬৫ এর বেশি পাবেনা। তবে বিএনপি এইবার জিতার সম্ভাবনা কম।,
জামাত এগারো দলীয় জোট 150 + পাবে।,
কমেন্ট দেখলে বুঝা যায় জামাত কোন লেভেলের বট তৈরি করে রাখছে...!!!,
এই তথাকথিত বুদ্ধিজীবিদের অতিরিক্ত আত্নবিশ্বাসই হয়তো বিএনপিকে ডুবাতে যথেষ্ট।,
"এইসব পেইড দালালরা ছাড়া কেউই বলছেনা বিএনপি ক্ষমতায় আসবে।যদি নির্বাচন সুষ্ঠ হয় বিএনপি সর্বোচ্চ একশ সিট পাবে,পরে মিলিয়ে নিবেন।",
বুদ্ধিজীবি ১২ কোটি ভোটারের মনের খবর জানে,
উনি ঢাকায় বসে ডাকসু নির্বাচনে ফতুয়া দিয়েছিল সেদিক থেকে বুঝেছি হেতার মাথায় কিছুই নাই,
ইনার মুখে কয়েকদিন আগে শুনলাম বিএনপি ২৫০+ আসন পাবে আজকে শুনি ২০০+,
সস্তা বুদ্ধিজীবী!,
রুমিন আপার প্রেডিকশনটা যদি একটু করে দিতেন!!,
জাহিদ ভাইয়ের মুখ বন্ধ করার জন্যই মানুষ জামাতকে ভোট দেবে,
"জামাতের ইশতিহারে ইসলামকে নৈতিকতা, দায়িত্বশীলতা ও মানবকল্যাণের দর্শন হিসেবে তুলে ধরা হয়েছে। শরিয়াহ বলতে শুধু দণ্ডবিধি নয়; বরং ন্যায়বিচার, দুর্নীতিমুক্ত শাসন, মানবিক মর্যাদা, সামাজিক নিরাপত্তা ও জবাবদিহিকে অগ্রাধিকার দেওয়া হয়েছে",
"এই যদি বিনপি বুদ্ধিজীবির অবস্থা হয়, এই দল বেশি দুর যাবে না।",
ডাকসুর মত হবে ইনশাআল্লাহ।,
পাগলা পানি খাইছে,
"বহু বছর আওয়ামী লীগ সরকার দেখেছি , বহু বছর বিএনপি সরকার দেখেছি , একবার জামাত সরকার দেখতে চাই ।",
আগে থেকে রাস্তা তৈরি,
"জনগন বিএনপির মিছিল মিটিংয়ে যায়। কিন্তু, ভোট দিবে বলতেছে দাঁড়িপাল্লায়",
তোর কথা যেন সত্যি হয় যেমন সত্যি হয়েছিল ডাকসু নির্বাচনে,
ছাপরি,
জেন ঝি ৪ কোটি ভোটার ইনসাফ কে ভোট দিবে।,
বস্তাপচা বুদ্ধিজীবী!,
কাচা গান্জা খাইছে।,
ভদ্রলোকের বক্তব্য আগে দেখতাম। কিন্তু ইদানীং ওনার কথাবার্তা তৃতীয় শ্রেণীর ব্যক্তিবর্গের থেকেও নিকৃষ্ট মানের।,
কিসের বুদ্ধিজীবি ওনার মাথায় তো কুত্তার গু বরা,
ওগুলো ভারতের মাল ও বুঝতে পারছে জামাত ক্ষমতায় আসলে আমার টকশোতে আর ভ্যালু থাকবে না এই জন্যই এগুলো বলতেছে।,
"বিএনপি জিতবে না ওকে ফাইন, তাহলে জামাতের আমিরকে প্রশ্ন করেন কেনো বিএনপির সাথে জাতীয় সরকার গঠন করতে চাচ্ছে?? জামাতের দল কানা সমর্থকদের বলছি?",
বাটপার,
হাসের খবর কি দালাল,
বিএনপি ২০০ আসন ক্রস করবেই ফেইল করে ২২৫ জামায়াতে ইসলাম ৭৫ বিএনপি।Loud & Clear,
মহা পন্ডিত যে ডাকসুর প্রেডিকশন করলো তাতে তো বিএনপি গো হারা হারল,
এই ছাগল তুই মনে করলেই কি আর না করলেই কি তুই ওখানে বসে সারাদেশের জনগণের মনে কি আছে তুই জানোস পাগল ছাগল সব টকশোতে ধরে নিয়ে আসে ভিউ বাড়ানোর জন্য,
জাহেদ় ভাই সঠিক বলছেন,
এদের কে কেন অনুষ্ঠানে আনেন এরা বিএনপি পন্থী,
তোমার মুখের কথা মুখেই থেকে যাবে তোমার ধারণা নাই এসব তেল মারা কথা,
আলহামদুলিল্লাহ দাঁড়িপাল্লা,
ইনশাআল্লাহ বি এন পি সরকার গঠন করবে,
উনি এই সমস্ত চিন্তায় বেশি ছিল।,
তুমি কেন মনে করবা তুমি খাইচো না আরো খাওয়ার অপেক্ষায় আছো না ?,
তুমি কি বুদ্ধিজীবী,
ইনশাআল্লাহ,
এই লোক সেই লোক না ঢাকা বিশ্ববিদ্যালয় জিতিয়েছিল কোন দলকে যেন,
জাহিদ ভাইয়ের ধারণা উল্টে যাওয়া অসম্ভব না। সুষ্ঠ সুন্দর শান্তিপূর্ণ নির্বেজাল নিরপেক্ষ নির্বাচন চাই যেই পাশ করুক।,
এই পরজীবী ডাকসু নির্বাচনের আগেও এরকম প্রেডিকশন করেছিল,
আওয়ামীলীগ জামাতকে ভোট দিবে এটা ভাবা দিবা সপ্ন।,
সময় আসতে দেন দেখেন,
বরদা কিন্তু এক চামচ বেশি বুঝে,
ওকে চিনেছি দালাল একটা আগে গোঁড়ার খবর নে পরে সিদ্ধান্ত কর,
এই বিশেষজ্ঞর কথা যদি সত্যি না হয় তারে সবাই ডাস্টবিনের মধ্যে ফালাইয়া ময়লা খাওয়াইতে হইবো,
"বলদা,, সমিকরন করতে জানেনা",
এই বলদ যার পক্ষ নেই সেই হারে,
সালার কানে কখন যে তাপড়াবো,
ঠিক বলছেন জামাত দালাল কিনতে পারেনাই। বিএনপি মিডিয়া আর দালালদের এক করতে পারছে তাই ভোটের আগেই বলে দিচছে বিএনপি২০০ বেশি ছিট বাবে।,
জামাত জিতে গেলে দেশে মাদকের চোরাচালান বন্ধ হয়ে গেলে এদের কি হবে জামাতের কাছে অনুরোধ তারা যাতে দেশে ফ্রিতে মাদক নিরাময় সেবা দেয় নাহলে এত এত লোকের কি হবে,
তুই মনে করলে কি না করলে কি আমরা জনগোন মনে করলে হই,
আর কিছু দিন গেলে জাহেদ ১৫০ বলতো।,
বাংলাদেশের সব ভোটে গ্রেট মাদারবোর্ডে দিব। যার জন্যই তো ভোটকেন্দ্র থেকে ৪০০ মিটার দূরে মোবাইল নেওয়া যাবে না। যদি মোবাইল নেওয়া যায় তাহলে তো টু থার্ড মেজরিটি হবে না,
এইবার মুখের কথা কাজে লেগে গেছে,
কাঁচা পাতা খেয়ে আসছে,
এই হালা যা বলে সব ভূয়া,
মনে হয় অনেক খেয়েছে।,
এই লোক চামচামি করে কিছু একটা করতে হতে চায় বিএনপি সরকারে আসলে,
ইসলাম থাক বা না থাক সেটা বড় ব্যাপার না ব্যাপারটা হচ্ছে তারা সৎ আপনাদের মত অসৎ না সেই জন্যই সেখানে ভোট দেয়া উচিত,
ঘেটু জাহিদ এভাবেই কথা বলে আন্দাজে,
"বরং আমি তো মনে করি আপনি উল্টা হাইপ তৈরি করার চেষ্টা করছেন যে, বিএনপি ২০০ এর বেশি সিট পাবে।",
জাহেদ সাব কথা কেমন যেন গালে বেজে যাচ্ছে।,
"প্রতিহিংসার রাজনীতি বিএনপি করেন না' যে রাজনীতি দল স্বপ্ন দেখছে, জনগণ ঘাটে নিয়ে তরী ডুবানেন।",
"দালাল মিডিয়া টাকার কাছে বিক্রি হয়ে গেছে কিন্তু বিএনপির অনুকুলে সবাই সাবধান, এটা প্লানের অংশ, সব মিডিয়াই জামাতের বিরুদ্ধে নিউজ করতাছে।",
বাহ্: বিনা মূলধনে ধনী হওয়ার নিনজা টেকনিক।,
কি পরিমান চাটাচাটি শুরু করছে মিডিয়া,
"ন্যায় ও ইনসাফভিত্তিক সমাজ গঠন করা জরুরি,এই প্রজন্ম অনেক নষ্ট হয়ে গেছে,হে তরুণ , যদি পরবর্তী প্রজন্মেকে ভালো কিছু উপহার দিতে চাও তাহলে তোমার ভোট ভেবে দাও।",
"আসন্ন নির্বাচনে আপনার একটি ভোট কেবল একটি সিল নয়, বরং এটি একটি আগামীর অঙ্গীকার। আমরা ভোট দেবো বাংলাদেশের পক্ষে, আমরা ভোট দেবো জুলাইয়ের বিপ্লবের চেতনাকে ধারণ করে। ইনসাফ ভিত্তিক সমাজ গড়তে সততা আর ঐক্যের কোনো বিকল্প নেই।",
"ধান লাগা, চান্দা উঠা।",
"বার বার প্রমাণিত চাদাবাজ, দুর্নীতিবাজ, লুটপাট, দখলদাদের বয়কট করুন। এদের হাত থেকে দেশকে বাচান।",
৬০% বিএনপি প্রার্থী ঋণখেলাপী চোর এদের দায় সাধারণ জনগণ কি নিবে?,
ইনশাআল্লাহ বিএনপি,
ইনশাআল্লাহ জয় নিশ্চিত,
ইনশা আল্লাহ,
মাশাআল্লাহ আলহামদুলিল্লাহ,
"নৌকা, ধানের শীষ, লাঙ্গল দেখা শেষ দাঁড়িপাল্লা এবার গড়বে বাংলাদেশ ",
"শান্তিপূর্ণ, নিরপেক্ষ ভোট হলে গণতন্ত্রের সূচনা হবে: তারেক রহমান",
গণতন্ত্র পক্ষে ধানের শীষে ভোট দিয়ে আমরা গর্বিত,
ভোট দিয়েছি স্যার। ইনশাআল্লাহ আপনি আমাদের দেশের মানুষের প্রত্যাশার প্রধানমন্ত্রী হবেন,
"একবার মনে হচ্ছে বিএনপি জিতবে, আবার মনে হচ্ছে জামাত জিতবে। আম্লীগের সময় এই টেনশন করতে হতো না, আমরা জানতাম কে জিতবে। আগেই ভালো ছিলাম।",
ইনশাআল্লাহ জয় আমাদেরই হবে,
"আমি বললাম, প্রয়োজনে লিখে রাখেন জামায়াত সরকার গঠন করবে। যদি ভোট সুষ্ঠু হয়। ইনশাআল্লাহ",
ভোটের ফলাফল যদি দেরি করে ঘোষণা হয় তাহলে কি জাতি মেনে নেবে কি নেবে না,
আমাদের এলাকার জামাত পাস হয়েছে দাঁড়িপাল্লা,
ইনসাহা আললাহ মাঠে শিবীর বুলেটেট মত কাজ করবে কেউ সাহস করবে না এবার,
ইনশাআল্লাহ জিতবে,
নির্বাচন ঘিরে বিএনপি সারা দেশে কি পরিমান অরাজকতা করতেছে সেটা কি আপনার অনুমতিতে?,
লন্ডন ফেরত চাই না যাদের নেতা বলে হ্যা ভোট কর্মী বলে না ভোট,
আমার বয়সে আমি প্রথম ভোট দিতে চাইছিলাম দিতে পারলাম না অনেক কষ্ট পাইলাম,
বিপুল ভোটে ধরনের শীষ,
ইনশাল্লাহ এম এমাপাটি জামায়াত ইসলামী বাংলাদেশ জিন্দাবাদ নারে তাকবীর আল্লাহু আকবার এম এমাপাটি জামায়াত ইসলামী,
ইনশাআল্লাহ জয় খুব নিকটে,
অনেক ইচ্ছা ছিল একটা ধানের শীষে ভোট দিব,
তরুণ্যের প্রথম ভোট ধানের শীষের পক্ষে হোক।,
জয় বাংলা_জিতবে এইবার ধানের শীষ_দাঁড়িপাল্লায় ভোট দিস,
যৌবন এর প্রথম ভোট ইসলামী কেন দলের দিবে ইনশাআল্লাহ,
৭০% বললেও এটা সামনের কয়েক সপ্তাহে ৮০% হয়ে যাবে।,
ধানের শীষের ভোটার যারা জয়ের মালা পর্বে তারা ধানের শীর্ষে ভোটার যারা করবে তারা,
তাহলে আর বিনাকরণে ভোট করার দরকার কি?,
